dia,mp10_0,mp25_0,nox_0,o3_0,i1
2019-01-01,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-01-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-01-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-09,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,BAIXA
2019-01-10,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-BAIXA
2019-01-11,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-12,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-14,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-15,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-17,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-18,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-19,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-22,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-01-29,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-01-30,N1 - Boa,N2 - Moderada,N1 - Boa,N2 - Moderada,BAIXA
2019-01-31,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,BAIXA
2019-02-01,N1 - Boa,N2 - Moderada,N1 - Boa,N3 - Ruim,BAIXA
2019-02-02,N1 - Boa,N2 - Moderada,N1 - Boa,N3 - Ruim,BAIXA
2019-02-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-08,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-02-09,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,BAIXA
2019-02-10,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-02-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-02-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-02-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-02-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-02-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-02-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-02-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-02-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-02-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-02-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-02-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-03-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-03-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-03-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-03-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-03-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-03-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-03-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-03-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-03-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-03-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-03-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-03-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-03-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-03-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-03-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-03-24,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2019-03-25,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-03-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-03-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-03-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-03-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-03-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-03-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-03,N1 - Boa,N2 - Moderada,N1 - Boa,N3 - Ruim,ALTA
2019-04-04,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,ALTA
2019-04-05,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,ALTA
2019-04-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-13,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-04-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-04-19,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-04-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-04-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-04-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-04-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-04-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-04-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-04-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-04-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-02,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,ALTA
2019-05-03,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,ALTA
2019-05-04,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-05-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-05-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-21,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,ALTA
2019-05-22,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-ALTA
2019-05-23,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-05-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-05-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-05-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-05-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-07,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-ALTA
2019-06-08,N2 - Moderada,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-06-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-11,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,ALTA
2019-06-12,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,ALTA
2019-06-13,N1 - Boa,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-ALTA
2019-06-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-19,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,ALTA
2019-06-20,N1 - Boa,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA
2019-06-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-23,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-26,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-06-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-06-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-07-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-07-02,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-07-03,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-07-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-10,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-11,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-12,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-13,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-14,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA
2019-07-15,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA
2019-07-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-07-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-23,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-24,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-25,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-01,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA
2019-08-02,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-08-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-08-09,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2019-08-10,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA
2019-08-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-08-12,N2 - Moderada,N1 - Boa,N2 - Moderada,N1 - Boa,ALTA
2019-08-13,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-ALTA
2019-08-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-17,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-18,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-08-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-30,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,BAIXA
